spending_score,age_transformed_yj,annual_income_transformed_yj,gender_Male
39,3.652140980125522,797.5347762845207,1.0
81,3.79292532116306,797.5347762845207,1.0
6,3.723994916469119,831.7823438112831,0.0
77,3.92296179553083,831.7823438112831,0.0
40,4.363367653856321,865.2889748374467,0.0
76,3.859176240821545,865.2889748374467,0.0
6,4.548417107439841,898.1129600622469,0.0
94,3.92296179553083,898.1129600622469,0.0
3,5.520088095324345,930.3050432812621,1.0
72,4.313963295066453,930.3050432812621,0.0
14,5.597356155451702,930.3050432812621,1.0
99,4.548417107439841,930.3050432812621,0.0
15,5.355735594136202,961.9097420743296,0.0
77,3.984470924619443,961.9097420743296,0.0
13,4.634302428421484,961.9097420743296,1.0
79,3.859176240821545,961.9097420743296,1.0
35,4.548417107439841,992.9663831842953,0.0
66,3.723994916469119,992.9663831842953,1.0
29,5.176106472172109,1053.5716174418471,1.0
98,4.548417107439841,1053.5716174418471,0.0
35,4.548417107439841,1083.1795402344737,1.0
73,4.043871222592556,1083.1795402344737,1.0
5,4.9777836372505915,1112.3590410603865,0.0
73,4.363367653856321,1112.3590410603865,1.0
14,5.23786919548355,1197.5467477024188,0.0
82,4.263149440393941,1197.5467477024188,1.0
32,4.942604385317843,1197.5467477024188,0.0
61,4.548417107439841,1197.5467477024188,1.0
31,4.756015870062159,1225.2229543940653,0.0
87,3.92296179553083,1225.2229543940653,0.0
4,5.41207681033034,1252.567354575232,1.0
73,3.79292532116306,1252.567354575232,0.0
4,5.207237137217553,1332.752699759163,1.0
92,3.5770836099083523,1332.752699759163,1.0
14,5.079540242445885,1332.752699759163,0.0
81,3.79292532116306,1332.752699759163,0.0
17,4.832912582191835,1358.9077111670415,0.0
73,4.313963295066453,1358.9077111670415,0.0
26,4.591865758420844,1435.80710848129,0.0
75,3.723994916469119,1435.80710848129,0.0
35,5.546183403794602,1460.950442333591,0.0
92,3.984470924619443,1460.950442333591,1.0
36,5.046227300365961,1485.8634219059247,1.0
61,4.363367653856321,1485.8634219059247,0.0
28,5.079540242445885,1485.8634219059247,0.0
65,3.984470924619443,1485.8634219059247,0.0
55,5.112277303588068,1510.5539851964095,0.0
47,4.1569271935267205,1510.5539851964095,0.0
42,4.263149440393941,1510.5539851964095,0.0
42,4.363367653856321,1510.5539851964095,0.0
52,5.079540242445885,1559.2973307414288,0.0
60,4.458266338372307,1559.2973307414288,1.0
54,4.363367653856321,1583.3638142891052,0.0
60,5.384110877560028,1583.3638142891052,1.0
45,5.112277303588068,1583.3638142891052,0.0
41,5.012316278446465,1583.3638142891052,1.0
50,5.144459443085952,1607.2353485125298,0.0
46,5.647233155497553,1607.2353485125298,1.0
51,4.1569271935267205,1654.4170882853539,0.0
46,5.207237137217553,1654.4170882853539,1.0
56,5.671707360294561,1654.4170882853539,1.0
55,3.652140980125522,1654.4170882853539,1.0
52,5.597356155451702,1677.7383011579307,0.0
59,5.23786919548355,1677.7383011579307,0.0
51,5.49364040063579,1700.8866222570346,1.0
59,3.5770836099083523,1700.8866222570346,1.0
50,4.870198069311736,1700.8866222570346,0.0
48,5.622452212067472,1700.8866222570346,0.0
59,3.652140980125522,1700.8866222570346,1.0
47,4.411443878043676,1700.8866222570346,0.0
55,5.671707360294561,1723.866896053459,1.0
42,5.012316278446465,1723.866896053459,0.0
49,5.41207681033034,1746.683735495454,0.0
56,5.41207681033034,1746.683735495454,0.0
47,5.384110877560028,1836.401735419622,1.0
54,4.10131206753082,1836.401735419622,1.0
53,4.942604385317843,1836.401735419622,0.0
48,4.756015870062159,1836.401735419622,1.0
52,3.92296179553083,1836.401735419622,0.0
42,5.079540242445885,1836.401735419622,0.0
51,5.326937875382276,1836.401735419622,1.0
55,4.6757764100478605,1836.401735419622,1.0
41,5.597356155451702,1836.401735419622,1.0
44,4.9777836372505915,1836.401735419622,0.0
57,3.79292532116306,1836.401735419622,0.0
46,5.046227300365961,1836.401735419622,1.0
58,5.268019484214947,1902.170894838264,0.0
55,3.859176240821545,1902.170894838264,0.0
60,4.503903201357645,1923.8230947615841,0.0
46,5.112277303588068,1923.8230947615841,0.0
55,5.622452212067472,1945.3451310225025,0.0
41,3.5770836099083523,1945.3451310225025,1.0
49,5.046227300365961,1966.7399727281095,1.0
40,4.756015870062159,1966.7399727281095,0.0
42,4.411443878043676,1966.7399727281095,0.0
52,3.984470924619443,1966.7399727281095,1.0
47,5.012316278446465,1966.7399727281095,0.0
50,4.1569271935267205,1966.7399727281095,0.0
42,5.046227300365961,1988.0104730346234,1.0
49,3.723994916469119,1988.0104730346234,1.0
41,3.92296179553083,2009.1593754973724,0.0
48,5.079540242445885,2009.1593754973724,0.0
59,5.597356155451702,2009.1593754973724,1.0
55,4.10131206753082,2009.1593754973724,1.0
56,5.079540242445885,2009.1593754973724,1.0
42,3.79292532116306,2009.1593754973724,0.0
50,5.571936255107799,2030.189319976454,0.0
46,5.23786919548355,2030.189319976454,1.0
43,5.622452212067472,2030.189319976454,1.0
48,5.571936255107799,2030.189319976454,1.0
52,5.546183403794602,2030.189319976454,1.0
54,3.652140980125522,2030.189319976454,0.0
42,4.6757764100478605,2051.1028481357107,0.0
46,3.652140980125522,2051.1028481357107,1.0
48,3.5770836099083523,2071.9024085689225,0.0
50,3.652140980125522,2071.9024085689225,0.0
43,5.49364040063579,2071.9024085689225,0.0
59,5.079540242445885,2071.9024085689225,0.0
43,5.144459443085952,2113.1689836716487,0.0
57,5.112277303588068,2113.1689836716487,0.0
56,4.1569271935267205,2113.1689836716487,1.0
40,4.6757764100478605,2113.1689836716487,0.0
58,4.756015870062159,2154.006946761891,0.0
91,4.716333405418429,2154.006946761891,1.0
29,3.92296179553083,2174.2704579716165,0.0
77,4.363367653856321,2174.2704579716165,0.0
35,4.870198069311736,2194.432985775955,1.0
95,4.756015870062159,2194.432985775955,1.0
11,5.384110877560028,2194.432985775955,1.0
75,4.6757764100478605,2194.432985775955,1.0
9,5.012316278446465,2194.432985775955,1.0
75,4.716333405418429,2194.432985775955,1.0
34,4.043871222592556,2214.496445248139,0.0
71,4.363367653856321,2214.496445248139,0.0
5,3.723994916469119,2234.4626891099524,1.0
88,4.263149440393941,2234.4626891099524,0.0
7,4.906751955751641,2234.4626891099524,0.0
73,4.411443878043676,2234.4626891099524,1.0
10,3.652140980125522,2254.3335105862643,1.0
72,4.548417107439841,2254.3335105862643,0.0
5,5.326937875382276,2274.110646092152,0.0
93,4.411443878043676,2274.110646092152,1.0
40,4.2108368220638885,2293.7957777645215,0.0
87,4.411443878043676,2293.7957777645215,0.0
12,4.043871222592556,2313.3905358491565,1.0
97,4.2108368220638885,2313.3905358491565,1.0
36,5.046227300365961,2313.3905358491565,1.0
